iter	MultiClass_SumError	MultiClass_SumWeight
939	1056287.213	1042606.638
940	1056254.286	1042606.638
941	1056222.858	1042606.638
942	1056179.853	1042606.638
943	1056236.291	1042606.638
944	1056252.615	1042606.638
945	1056350.082	1042606.638
946	1056386.409	1042606.638
947	1056588.923	1042606.638
948	1056829.079	1042606.638
949	1057023.514	1042606.638
950	1057143.483	1042606.638
951	1057177.203	1042606.638
952	1057288.648	1042606.638
953	1057260.699	1042606.638
954	1057234.553	1042606.638
955	1057229.096	1042606.638
956	1057187.098	1042606.638
957	1056936.606	1042606.638
958	1056886.546	1042606.638
959	1057131.034	1042606.638
960	1057307.126	1042606.638
961	1057322.95	1042606.638
962	1057308.076	1042606.638
963	1057346.944	1042606.638
964	1057084.293	1042606.638
965	1057033.454	1042606.638
966	1057421.067	1042606.638
967	1057461.319	1042606.638
968	1057591.044	1042606.638
969	1057660.352	1042606.638
970	1057823.162	1042606.638
971	1057866.6	1042606.638
972	1057832.351	1042606.638
973	1057901.291	1042606.638
974	1057907.994	1042606.638
975	1058113.257	1042606.638
976	1058070.414	1042606.638
977	1058083.414	1042606.638
978	1058103.288	1042606.638
979	1058496.022	1042606.638
980	1058506.728	1042606.638
981	1058500.021	1042606.638
982	1058476.424	1042606.638
983	1058439.802	1042606.638
984	1058448.926	1042606.638
985	1058568.931	1042606.638
986	1058778.19	1042606.638
987	1058906.27	1042606.638
988	1058756.585	1042606.638
989	1058828.613	1042606.638
990	1058864.627	1042606.638
